"tickers","tickers/_text"
"https://www.nyse.com/quote/XNYS:URI","URI"
"https://www.nyse.com/quote/XNYS:UTX","UTX"
"https://www.nyse.com/quote/XNYS:UHS","UHS"
"https://www.nyse.com/quote/XNYS:UNM","UNM"
"http://www.nasdaq.com/symbol/urbn","URBN"
"https://www.nyse.com/quote/XNYS:VFC","VFC"
"https://www.nyse.com/quote/XNYS:VLO","VLO"
"https://www.nyse.com/quote/XNYS:VAR","VAR"
"https://www.nyse.com/quote/XNYS:VTR","VTR"
"http://www.nasdaq.com/symbol/vrsn","VRSN"
"https://www.nyse.com/quote/XNYS:VZ","VZ"
"http://www.nasdaq.com/symbol/vrtx","VRTX"
"http://www.nasdaq.com/symbol/viab","VIAB"
"https://www.nyse.com/quote/XNYS:V","V"
"https://www.nyse.com/quote/XNYS:VNO","VNO"
"https://www.nyse.com/quote/XNYS:VMC","VMC"
"https://www.nyse.com/quote/XNYS:WMT","WMT"
"https://www.nyse.com/quote/XNYS:WAG","WAG"
"https://www.nyse.com/quote/XNYS:DIS","DIS"
"https://www.nyse.com/quote/XNYS:WM","WM"
"https://www.nyse.com/quote/XNYS:WAT","WAT"
"https://www.nyse.com/quote/XNYS:ANTM","ANTM"
"https://www.nyse.com/quote/XNYS:WFC","WFC"
"http://www.nasdaq.com/symbol/wdc","WDC"
"https://www.nyse.com/quote/XNYS:WU","WU"
"https://www.nyse.com/quote/XNYS:WY","WY"
"https://www.nyse.com/quote/XNYS:WHR","WHR"
"http://www.nasdaq.com/symbol/wfm","WFM"
"https://www.nyse.com/quote/XNYS:WMB","WMB"
"http://www.nasdaq.com/symbol/win","WIN"
"https://www.nyse.com/quote/XNYS:WEC","WEC"
"https://www.nyse.com/quote/XNYS:WYN","WYN"
"http://www.nasdaq.com/symbol/wynn","WYNN"
"https://www.nyse.com/quote/XNYS:XEL","XEL"
"https://www.nyse.com/quote/XNYS:XRX","XRX"
"http://www.nasdaq.com/symbol/xlnx","XLNX"
"https://www.nyse.com/quote/XNYS:XL","XL"
"https://www.nyse.com/quote/XNYS:XYL","XYL"
"http://www.nasdaq.com/symbol/yhoo","YHOO"
"https://www.nyse.com/quote/XNYS:YUM","YUM"
"https://www.nyse.com/quote/XNYS:ZMH","ZMH"
"http://www.nasdaq.com/symbol/zion","ZION"
"https://www.nyse.com/quote/XNYS:ZTS","ZTS"
